,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
014906004,603085,,,,111735.0,25354.0,,,,,,,,,5009.0,,,,
014906006,8740,462.0,,,73815.0,2050.0,,,,,,,,,1614.0,,,,
014906007,7134484,456731.0,56676.0,102700.0,1580303.0,56655.0,,,,,,,,,63514.0,474854.0,,,
014906008,6563009,410907.0,103235.0,108574.0,1239260.0,53670.0,,,,,,,,,47006.0,457785.0,,,
014906009,24425,,,,104646.0,25170.0,,,,,,,,,4037.0,,,,
014906022,174,,,,63234.0,,,,,,,,,,4850.0,,,,
014906024,6485,,,,5579.0,,,,,,,,,,1626.0,,,,
014906025,313755,,,,206931.0,,,,,,,,,,5119.0,368.0,,,
014906026,3013,,,,9206.0,,,,,,,,,,2498.0,,,,
014906041,1611665,29065.0,42812.0,88198.0,495620.0,49376.0,,,,,,,,,17729.0,116407.0,,,
014906042,2250563,28794.0,203816.0,140809.0,655955.0,72811.0,,,,,,,,,27660.0,151537.0,,,
014906043,2488521,30444.0,140552.0,77201.0,533340.0,45667.0,,,,,,,,,16185.0,199748.0,,,
014906044,2206184,23333.0,189917.0,100684.0,416424.0,27776.0,,,,,,,,,12892.0,166514.0,,,
014906045,1956869,27504.0,81248.0,116070.0,550405.0,27183.0,,,,,,,,,17485.0,170432.0,,,
014906046,2435711,24353.0,197884.0,90630.0,728630.0,53970.0,,,,,,,,,31374.0,194036.0,,,
014906048,2397419,24915.0,166049.0,109817.0,439753.0,53526.0,,,,,,,,,11787.0,186873.0,,,
014906049,2631007,4981.0,,87966.0,853482.0,33378.0,,,,,,,,,33714.0,180796.0,,,
014906050,3070441,27717.0,47403.0,146514.0,660117.0,48771.0,,,,,,,,,28462.0,228972.0,,,
014906051,3608043,30283.0,37796.0,75409.0,294646.0,33842.0,,,,,,,,,22241.0,190780.0,,,
014906052,2090522,25109.0,58438.0,103607.0,380125.0,29515.0,,,,,,,,,13198.0,198979.0,,,
014906053,139325,2558.0,3865.0,4476.0,21493.0,,,,,,,,,,179597.0,56552.0,,,
014906100,985,,,,52403.0,,,,,,,,,,1613.0,,,,
014906102,1401970,,,180702.0,340863.0,475915.0,,,,,,,,,53173.0,97480.0,,,
014906103,1664637,175.0,,189418.0,510105.0,95486.0,,,,,,,,,18695.0,117707.0,,,
014906104,1503410,,,158654.0,361776.0,26752.0,,,,,,,,,49682.0,92604.0,,,
014906105,2004389,,,245597.0,285783.0,438208.0,,,,,,,,,12544.0,115383.0,,,
