,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
019907116,5040,3289,1
019908001,9154,5769,140
019908002,15346,9415,0
019908041,7105,4905,59
019908101,6334,4829,29
019908102,5873,4314,28
019908103,6514,5128,28
019909001,7101,5388,0
019909002,.,.,.
019909041,4177,3114,0
019909101,6553,5445,0
019910101,7766,5779,0
019911003,.,.,.
019911041,5527,4085,0
019911101,4225,3087,0
019912001,9673,6089,21
019912041,6580,4209,23
019912102,5842,4403,38
019913101,8557,6776,0
019914101,8697,5923,74
020901001,7610,5105,138
020901002,5987,4039,80
020901004,.,.,.
020901005,7716,5950,312
020901041,5569,4230,75
020901042,7517,5642,117
020901043,6196,4519,86
020901045,4782,3619,67
020901046,6268,4079,67
020901101,5802,4455,77
020901102,8059,6328,161
020901103,5834,4590,85
020901104,6156,4605,71
020901105,5737,4604,73
020901106,5677,4525,77
020901107,6059,4754,67
020901108,6421,5005,82
020901109,5340,4264,79
020901110,5777,4542,271
020901111,4619,3765,72
020901112,5027,3901,79
020901113,5446,4216,78
020902001,5851,4075,75
020902002,23866,18886,396
020902003,51440,46092,699
020902004,6621,5355,114
020902005,13112,9343,129
020902043,5500,4037,74
020902044,5826,4139,78
020902101,4900,3839,74
020902102,9411,6896,111
020902103,6299,4695,74
020902104,6914,4867,81
020902108,6766,4794,81
020902109,6354,4521,87
020904001,10002,6154,121
020904002,.,.,.
020904041,7278,4084,109
020904101,6518,4789,101
020905001,8252,5432,227
020905002,6355,4000,145
020905004,25666,19086,1002
020905005,27116,27116,0
020905006,3247,1923,223
020905041,6539,4522,98
020905042,7964,5200,101
020905043,5500,3715,106
020905101,6995,4866,90
020905102,5508,4221,102
020905104,7071,5044,125
020905106,6137,4657,98
020905107,5796,4117,89
020905108,5965,4531,114
020905109,5196,4076,80
020905110,5768,4135,113
020905111,6318,4512,121
020905113,6306,4475,101
020905114,6154,4465,133
020905115,5610,3872,82
020905116,8375,5862,110
020906002,8192,5469,356
020906041,6433,4832,290
020906104,5902,4919,258
020907001,5828,4272,101
020907042,5825,4347,60
020907102,4690,3794,58
020907106,5544,4267,71
020907107,5132,4137,59
020908001,5602,3771,158
020908002,5380,5380,0
020908004,16867,10614,483
020908007,8008,4920,113
020908008,.,.,.
020908041,5491,3579,102
020908042,6357,3959,102
020908043,5916,3935,111
020908044,5931,3860,98
020908101,6166,4660,115
020908102,4933,3647,101
020908103,5399,4037,101
020908104,5253,4081,104
020908105,5332,3715,105
020908106,4783,3640,94
020908107,5452,4119,108
020908108,6026,3934,115
020908109,4931,3842,103
020908110,4703,3642,91
020908111,4743,3263,89
020908112,4651,3514,97
020908113,5236,3960,106
020908114,5247,3918,109
020908115,4927,3481,116
020910101,8392,5560,0
021803001,7223,4164,44
021803102,7961,5250,60
021803103,6315,4054,24
021803104,6277,3411,26
021804001,6955,4136,0
021901001,6978,4429,150
021901002,17546,11803,378
021901041,6919,4481,138
021901042,6842,4603,110
021901101,6639,4970,122
021901102,8751,6871,202
021901104,6334,4814,106
021901105,7556,5703,156
021901107,6452,4711,140
021901108,5828,4359,104
021901109,.,.,.
021901201,6388,4470,145
021901202,5776,4085,112
021902001,7949,4900,323
021902002,11650,6554,220
021902003,6241,4375,115
021902012,10643,6084,160
021902014,14704,12347,1429
021902015,.,.,.
021902017,7358,4410,255
021902041,7258,4823,138
021902045,8381,5675,312
021902046,7229,5151,121
021902047,7580,4728,124
021902101,6714,4345,221
021902103,5352,4022,81
021902105,6279,4287,195
021902106,6711,4720,89
021902107,7428,5121,104
021902108,6275,4515,96
021902109,6312,4516,86
021902110,6480,4516,110
021902112,5913,4384,143
021902113,5992,4268,97
021902114,6110,4486,96
021902115,6751,4447,229
021902116,5015,3655,90
021902117,5859,4092,96
021902118,6560,4486,99
021902119,6690,4915,137
022004001,13250,7941,0
022004101,10619,7367,63
022901001,8805,5480,33
022901041,6716,4740,34
022901101,5941,4309,34
022902001,20973,16729,0
022903101,17629,9874,0
023902001,8480,6860,0
024801101,7784,4454,0
024901001,11510,7289,327
024901041,8879,6575,289
024901101,7740,6187,312
024901103,6480,5180,151
025901001,7459,5388,98
025901041,5556,4211,74
025901101,5533,4137,75
025901160,.,.,.
025902001,7517,5371,50
025902003,12392,8064,19
025902041,7670,5873,99
025902042,19117,12786,51
025902101,4886,4046,13
025902106,6040,4762,63
