,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
015910002,68,69,90,1046,21.2,75.2
015910003,77,78,95,1039,21.5,85.6
015910004,56,58,87,954,20.1,63.3
015910005,62,62,92,1000,21.3,65.7
015910006,.,.,.,-1,.,-2
015910007,82,83,97,1084,23.2,97.9
015910008,-1,-1,-1,983,-1,40
015910009,80,80,98,1046,21.1,89.1
015910012,.,.,.,.,.,.
015910022,.,.,.,.,.,.
015910041,-1,-1,-1,.,.,.
015910042,-1,-1,-1,.,.,.
015910043,-1,-1,-1,.,.,.
015910044,-1,-1,-1,.,.,.
015910045,-1,-1,-1,.,.,.
015910046,-1,-1,-1,.,.,.
015910047,-1,-1,-1,.,.,.
015910048,-1,-1,-1,.,.,.
015910049,-1,-1,-1,.,.,.
015910050,-1,-1,-1,.,.,.
015910053,.,.,.,.,.,.
015910054,.,.,.,.,.,-1
015910056,-1,-1,-1,.,.,.
015910070,.,.,.,.,.,-1
015910071,14,-3,60,.,.,-1
015910101,-1,-1,-1,.,.,.
015910102,-1,-1,-1,.,.,.
015910103,-1,-1,-1,.,.,.
015910104,-1,-1,-1,.,.,.
015910105,-1,-1,-1,.,.,.
015910106,-1,-1,-1,.,.,.
015910107,-1,-1,-1,.,.,.
015910108,-1,-1,-1,.,.,.
015910109,-1,-1,-1,.,.,.
015910110,-1,-1,-1,.,.,.
015910111,-1,-1,-1,.,.,.
015910112,-1,-1,-1,.,.,.
015910113,-1,-1,-1,.,.,.
015910114,-1,-1,-1,.,.,.
015910115,-1,-1,-1,.,.,.
015910116,-1,-1,-1,.,.,.
015910117,-1,-1,-1,.,.,.
015910118,-1,-1,-1,.,.,.
015910119,-1,-1,-1,.,.,.
015910120,-1,-1,-1,.,.,.
015910121,-1,-1,-1,.,.,.
015910122,-1,-1,-1,.,.,.
015910123,-1,-1,-1,.,.,.
015910124,-1,-1,-1,.,.,.
015910125,-1,-1,-1,.,.,.
015910126,-1,-1,-1,.,.,.
015910127,-1,-1,-1,.,.,.
015910128,-1,-1,-1,.,.,.
