,gr3_ela_avg,gr4_ela_avg,gr4_writ_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
101912219,74,66,66,71,49,101912219,101912
101912222,72,40,52,80,66,101912222,101912
101912224,85,91,85,97,95,101912224,101912
101912227,68,37,46,73,77,101912227,101912
101912241,93,88,86,95,81,101912241,101912
101912242,71,54,52,75,64,101912242,101912
101912243,61,48,41,71,19,101912243,101912
101912245,51,53,59,71,41,101912245,101912
101912247,53,32,36,66,56,101912247,101912
101912248,76,66,73,83,66,101912248,101912
101912251,91,93,93,97,91,101912251,101912
101912252,76,41,41,73,56,101912252,101912
101912260,84,82,88,90,76,101912260,101912
101912262,64,51,51,74,61,101912262,101912
101912263,66,49,44,83,42,101912263,101912
101912269,77,80,78,83,68,101912269,101912
101912271,48,45,61,68,53,101912271,101912
101912281,73,61,55,87,80,101912281,101912
101912283,50,44,36,71,39,101912283,101912
101912285,76,72,73,88,57,101912285,101912
101912287,94,71,77,80,62,101912287,101912
101912289,67,52,45,86,32,101912289,101912
101912291,73,53,59,81,71,101912291,101912
101912295,74,71,69,66,55,101912295,101912
101912297,73,59,62,82,63,101912297,101912
101912298,56,48,40,63,51,101912298,101912
101912353,85,84,84,96,89,101912353,101912
101912359,69,66,70,88,65,101912359,101912
101912372,72,84,86,79,65,101912372,101912
101912373,72,66,69,89,77,101912373,101912
101912396,88,71,70,87,85,101912396,101912
101912473,41,34,34,53,32,101912473,101912
101913102,64,59,49,70,54,101913102,101913
101913104,83,83,65,94,82,101913104,101913
101913107,74,77,81,91,77,101913107,101913
101913108,90,72,62,83,63,101913108,101913
101913112,96,90,88,98,88,101913112,101913
101913117,58,70,64,86,79,101913117,101913
101913119,89,87,79,97,81,101913119,101913
101913121,84,85,82,96,83,101913121,101913
101913125,91,90,83,98,79,101913125,101913
101913126,91,87,79,97,93,101913126,101913
101914103,84,87,73,96,83,101914103,101914
101914104,80,87,75,94,76,101914104,101914
101914105,86,76,77,92,83,101914105,101914
101914107,81,74,69,92,79,101914107,101914
101914108,88,85,78,94,80,101914108,101914
101914110,84,74,62,87,70,101914110,101914
101914111,85,79,77,95,73,101914111,101914
101914112,98,98,95,99,99,101914112,101914
101914113,89,78,73,89,77,101914113,101914
101914114,93,92,86,98,89,101914114,101914
101914116,82,81,80,92,77,101914116,101914
101914117,99,99,94,99,98,101914117,101914
101914119,93,94,91,99,94,101914119,101914
101914120,76,81,67,86,75,101914120,101914
101914121,90,93,90,99,91,101914121,101914
101914122,97,94,95,99,94,101914122,101914
101914124,94,92,91,99,95,101914124,101914
101914125,86,80,70,94,77,101914125,101914
101914126,76,78,72,91,68,101914126,101914
101914127,98,97,97,99,93,101914127,101914
101914128,92,86,85,95,83,101914128,101914
101914129,99,95,88,99,92,101914129,101914
101914130,81,83,60,85,71,101914130,101914
101914131,99,98,99,98,96,101914131,101914
101914132,96,96,95,98,97,101914132,101914
101914133,98,96,91,99,97,101914133,101914
101914134,96,96,91,100,96,101914134,101914
101914139,96,100,95,98,94,101914139,101914
101915107,88,78,78,89,78,101915107,101915
101915109,91,89,83,95,94,101915109,101915
101915113,88,79,67,92,69,101915113,101915
101915116,80,73,69,95,79,101915116,101915
