,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
147901,17.7,17.7,17.7,147901
147902,20.1,20.1,20.1,147902
147903,19.8,19.8,19.8,147903
148901,19.3,19.3,19.3,148901
148902,20.6,20.6,20.6,148902
148903,-1,-1,-1,148903
148905,.,.,.,148905
149901,19.6,19.6,19.6,149901
149902,20.7,20.7,20.7,149902
150901,19.4,19.4,19.4,150901
152802,.,.,.,152802
152803,-1,-1,-1,152803
152805,.,.,.,152805
152901,21.2,21.2,21.2,152901
152902,19.2,19.2,19.2,152902
152903,20.9,20.9,20.9,152903
152906,20.7,20.7,20.7,152906
152907,22,22,22,152907
152908,18.8,18.8,18.8,152908
152909,21,21,21,152909
152910,21.4,21.4,21.4,152910
153903,18.9,18.9,18.9,153903
153904,21.6,21.6,21.6,153904
153905,19.9,19.9,19.9,153905
153907,-1,-1,-1,153907
154901,20.3,20.3,20.3,154901
154903,21.4,21.4,21.4,154903
155901,18.5,18.5,18.5,155901
156902,21.2,21.2,21.2,156902
156905,21.5,21.5,21.5,156905
157901,18.2,18.2,18.2,157901
158901,20.4,20.4,20.4,158901
158902,20.4,20.4,20.4,158902
158904,.,.,.,158904
158905,19,19,19,158905
158906,15,15,15,158906
159901,18.3,18.3,18.3,159901
160901,20.3,20.3,20.3,160901
160904,19.6,19.6,19.6,160904
160905,20,20,20,160905
161801,.,.,.,161801
161802,.,.,.,161802
161807,.,.,.,161807
161901,23.4,23.4,23.4,161901
161903,22.9,22.9,22.9,161903
161906,17.8,17.8,17.8,161906
161907,23.1,23.1,23.1,161907
161908,18.6,18.6,18.6,161908
161909,20.9,20.9,20.9,161909
161910,20.1,20.1,20.1,161910
161912,21,21,21,161912
161914,16.7,16.7,16.7,161914
161916,22.1,22.1,22.1,161916
161918,17.5,17.5,17.5,161918
161919,19.1,19.1,19.1,161919
161920,21.7,21.7,21.7,161920
161921,18.4,18.4,18.4,161921
161922,21.8,21.8,21.8,161922
161923,22,22,22,161923
161924,.,.,.,161924
161925,.,.,.,161925
162904,23.3,23.3,23.3,162904
163901,20,20,20,163901
163902,21.8,21.8,21.8,163902
163903,18.9,18.9,18.9,163903
163904,19.6,19.6,19.6,163904
163908,21.5,21.5,21.5,163908
164901,17.3,17.3,17.3,164901
165802,-1,-1,-1,165802
165901,22.1,22.1,22.1,165901
165902,21.5,21.5,21.5,165902
166901,18.6,18.6,18.6,166901
166902,.,.,.,166902
166903,19.2,19.2,19.2,166903
166904,20.1,20.1,20.1,166904
166905,19.8,19.8,19.8,166905
166907,.,.,.,166907
167901,21.7,21.7,21.7,167901
167902,19.2,19.2,19.2,167902
167903,-1,-1,-1,167903
167904,-1,-1,-1,167904
168901,18.5,18.5,18.5,168901
168902,.,.,.,168902
168903,18.3,18.3,18.3,168903
169901,20.5,20.5,20.5,169901
169902,20.6,20.6,20.6,169902
169906,.,.,.,169906
169908,.,.,.,169908
169909,-1,-1,-1,169909
169910,-1,-1,-1,169910
169911,.,.,.,169911
170801,.,.,.,170801
170902,23.2,23.2,23.2,170902
