,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
139911102,49,37,30,15,280,238,1,44,164,.,.,.,16.272727273,38015,22.6569,139,N,96.6,139911102,139911
140905102,66,45,49,4,378,101,15,34,298,.,.,.,11.285714286,35459,23.4899,140,N,96.8,140905102,140905
144902101,83,71,70,46,452,344,21,59,210,.,.,.,13.696848905,38089,32.8901,144,N,96.5,144902101,144902
145901102,42,54,57,35,347,206,14,47,196,.,.,.,11.208333333,33179,24.001,145,N,96,145901102,145901
145911102,44,48,54,10,316,240,24,42,174,.,.,.,12.333333333,37163,24.9521,145,N,97.1,145911102,145911
146903101,20,19,12,17,104,56,4,15,50,.,.,.,14.090909091,39866,8.6773,146,N,96.3,146903101,146903
147901101,27,20,26,36,170,59,4,28,142,.,.,.,11.77028385,35465,12.1666,147,N,96.1,147901101,147901
149902101,43,45,57,1,280,131,18,40,153,.,.,.,14.291666667,38973,22.3268,149,N,96.8,149902101,149902
150901102,76,70,64,1,489,412,26,76,299,.,.,.,11.341749233,34567,31.8128,150,N,94.7,150901102,150901
152802101,16,11,12,104,165,16,0,10,157,.,.,.,6.1538461538,29765,12.7838,152,Y,97.6,152802101,152802
152908101,79,86,96,31,570,275,24,81,415,.,.,.,12.385818176,36143,46.0836,152,N,96.7,152908101,152908
153903101,23,19,27,1,188,81,5,41,159,.,.,.,13.944444444,36853,17.3752,153,N,96.8,153903101,153903
156902101,59,60,47,5,357,152,12,39,234,.,.,.,15.222222222,40697,26.0695,156,N,96.3,156902101,156902
158902101,37,43,27,6,235,102,6,18,142,.,.,.,16.176470588,39176,16.6269,158,N,97.1,158902101,158902
158902102,21,28,27,20,175,80,15,15,136,.,.,.,12.4,37163,14.148,158,N,95.8,158902102,158902
161914103,96,93,77,17,560,12,22,58,548,.,.,.,10.930981512,37336,36.9766,161,N,97.1,161914103,161914
161914104,39,55,62,184,369,17,10,39,365,.,.,.,7.6839481246,35031,25.7534,161,N,97.3,161914104,161914
161914106,92,83,78,195,582,135,30,70,511,.,.,.,13.920833356,38985,37.4203,161,N,97,161914106,161914
161914108,44,43,50,253,310,7,12,34,299,.,.,.,13.479166667,37278,24.0004,161,N,96.4,161914108,161914
161914109,43,43,43,58,267,105,44,36,125,.,.,.,14.054054054,38717,17.6372,161,N,97.9,161914109,161914
161914110,50,54,56,355,383,7,42,40,371,.,.,.,14.692401397,40120,24.7915,161,N,96.7,161914110,161914
161914112,56,68,72,61,435,63,27,60,400,.,.,.,9.1180741307,35397,26.1696,161,N,97.8,161914112,161914
161914115,43,39,37,51,285,57,14,24,247,.,.,.,14.388888889,38544,17.4786,161,N,96.9,161914115,161914
161914116,66,65,64,100,440,233,54,37,224,.,.,.,12.721290727,38769,30.972,161,N,97.6,161914116,161914
161914118,73,84,63,202,531,39,42,38,495,.,.,.,12.429544379,37841,39.2917,161,N,97.2,161914118,161914
161914120,60,52,67,167,431,122,44,33,355,.,.,.,13.929824561,37940,27.9048,161,N,96.7,161914120,161914
161914121,64,67,70,102,434,18,27,47,410,.,.,.,16.630250498,40571,27.7809,161,N,98,161914121,161914
161914126,43,44,36,54,284,158,35,32,120,.,.,.,13.314055601,38650,20.6115,161,N,96.9,161914126,161914
164901101,19,29,23,1,151,63,5,23,110,.,.,.,19.625,38976,15.3614,164,N,96.8,164901101,164901
166903102,27,29,25,17,181,145,7,21,88,.,.,.,14.5625,35493,15.6517,166,N,96.6,166903102,166903
169909101,12,14,10,1,77,68,1,6,43,.,.,.,11,33132,6.4882,169,N,96.9,169909101,169909
170904103,106,92,104,91,643,267,8,76,513,.,.,.,7.7388309556,37674,45.9869,170,N,95.2,170904103,170904
170904104,99,95,87,28,612,516,21,53,178,.,.,.,15.59415367,41684,38.2162,170,N,96.3,170904104,170904
170904106,89,87,79,37,558,321,23,37,361,.,.,.,9.9053763226,39744,39.2545,170,N,96,170904106,170904
