,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
108804,-1,17.6,38,48,66,108804
108807,1347,19.1,88,83,97,108807
108808,1318,20,97,88,100,108808
108809,.,.,.,.,.,108809
108902,1341,17.2,68,58,85,108902
108903,1237,17.5,72,63,88,108903
108904,1384,17.9,79,65,88,108904
108905,1245,16.2,68,65,84,108905
108906,1430,18.9,82,70,91,108906
108907,1508,17.4,69,57,84,108907
108908,1367,17.7,74,59,58,108908
108909,1205,17,70,53,78,108909
108910,-1,17.3,64,54,70,108910
108911,1409,19.1,87,80,94,108911
108912,1252,17,73,59,81,108912
108913,1514,17.6,79,59,79,108913
108914,.,14.9,57,67,89,108914
108915,1225,16.5,71,62,87,108915
108916,1180,18.5,90,71,92,108916
109901,1488,21,94,75,95,109901
109902,-1,-1,92,67,79,109902
109903,.,20.9,79,48,84,109903
109904,1379,19.9,86,76,81,109904
109905,1488,23.3,64,65,87,109905
109907,1325,19.1,87,64,86,109907
109908,.,.,.,.,.,109908
109910,.,.,67,78,89,109910
109911,1529,22.6,79,85,88,109911
109912,1427,.,100,78,95,109912
109913,-1,18.9,96,74,86,109913
109914,1397,21,82,71,58,109914
110901,-1,21.3,55,50,72,110901
110902,1398,19.6,71,76,86,110902
110905,1354,20.9,92,82,77,110905
110906,1416,18.7,74,86,93,110906
110907,1404,24.1,100,89,100,110907
110908,1600,22.8,80,82,100,110908
111901,1485,21.9,87,84,94,111901
111902,1477,18.3,83,82,90,111902
111903,1473,21.2,84,81,93,111903
112901,1444,20.8,88,76,91,112901
112905,1322,21.5,72,67,93,112905
112906,-1,17.9,69,61,59,112906
112907,-1,23.6,85,67,94,112907
112908,-1,17.6,83,78,84,112908
112909,-1,21.8,90,79,82,112909
112910,-1,20.9,86,73,90,112910
113901,1159,-1,84,73,95,113901
113902,1383,20.5,71,67,83,113902
113903,1420,21.4,100,94,89,113903
113905,1262,-1,92,79,83,113905
113906,1342,-1,-1,80,-1,113906
114901,-1,20.5,76,59,83,114901
114902,-1,20.1,55,64,92,114902
114904,1527,21.5,81,86,90,114904
115901,1166,20.4,84,57,89,115901
115902,1285,-1,30,50,-1,115902
115903,.,-1,60,-1,80,115903
116801,1218,15.3,64,51,94,116801
116901,1557,21.6,98,90,96,116901
116902,1395,20.7,96,79,-1,116902
116903,1408,20,78,65,89,116903
116905,1385,21,89,74,93,116905
116906,1422,21.2,96,84,100,116906
116908,1378,19.7,79,63,86,116908
116909,1520,21.3,85,67,83,116909
116910,-1,20.3,82,84,63,116910
116915,1608,22.7,79,74,97,116915
116916,1400,19.5,82,77,96,116916
117901,1436,19.3,84,69,90,117901
117903,1454,20.3,72,66,86,117903
117904,.,21.6,91,84,96,117904
117907,.,.,.,.,.,117907
118902,-1,20.7,83,75,95,118902
119901,1448,-1,89,62,85,119901
119902,1414,20.1,85,71,84,119902
119903,1411,-1,77,60,91,119903
120901,1310,18.3,78,64,73,120901
120902,-1,18.2,68,73,78,120902
120905,1463,20.7,96,89,90,120905
121902,-1,19.5,84,86,96,121902
121903,1429,22.8,78,76,100,121903
121904,1498,19.2,86,71,83,121904
121905,1524,19.8,77,80,76,121905
121906,1296,-1,93,97,95,121906
122901,1489,23.6,94,83,94,122901
122902,-1,-1,-1,-1,-1,122902
123803,932,.,91,86,89,123803
123805,.,.,.,.,.,123805
123807,1153,.,92,79,100,123807
123905,1432,23.8,91,87,95,123905
123907,1201,16.9,67,53,81,123907
123908,1392,21.3,79,68,95,123908
123910,1311,17.9,61,56,82,123910
123913,1315,16.9,97,94,100,123913
123914,1382,21,98,90,95,123914
124901,1468,17.3,78,59,54,124901
125901,1517,18.2,64,47,76,125901
125902,.,16.7,67,69,86,125902
125903,-1,19.5,86,76,89,125903
125905,.,16.4,57,54,82,125905
125906,.,.,.,.,.,125906
126901,1367,18.6,71,60,77,126901
126902,1434,21.7,82,77,94,126902
126903,1408,21.7,72,60,86,126903
126904,1430,22.5,95,78,98,126904
126905,1457,22.3,91,79,95,126905
126906,1265,-1,81,71,85,126906
126907,1385,21.2,81,80,91,126907
126908,1319,19.4,79,68,84,126908
126911,1401,21.2,90,77,97,126911
127901,-1,20.7,93,79,91,127901
127903,.,18.6,88,67,77,127903
127904,1413,21.2,91,59,94,127904
127905,-1,.,-1,100,60,127905
127906,-1,19.4,97,80,90,127906
128901,1240,15.3,86,80,90,128901
128902,-1,18.4,72,60,82,128902
128903,1426,17.1,60,83,93,128903
128904,1405,21.2,100,88,97,128904
129901,1459,20.2,91,75,95,129901
129902,1434,20.8,95,88,96,129902
129903,1353,20.1,83,67,92,129903
129904,1344,19.7,85,75,93,129904
129905,1493,21.8,88,68,94,129905
129906,1360,19.9,80,69,90,129906
129910,1388,19.8,96,79,99,129910
130801,.,.,-1,-1,-1,130801
130901,1590,24.3,93,90,99,130901
130902,1421,19.6,85,79,96,130902
131001,.,.,.,.,.,131001
132902,.,22.9,100,93,100,132902
133901,1380,18.3,82,64,99,133901
133902,.,.,100,.,.,133902
133903,1501,22.3,92,77,94,133903
133904,1304,18.1,68,63,87,133904
133905,.,.,.,.,.,133905
134901,1292,19.4,87,82,87,134901
135001,.,17,100,100,100,135001
136901,1372,22,91,79,91,136901
137901,1270,17.1,54,46,54,137901
137902,.,.,100,.,.,137902
137903,1282,17.9,80,62,91,137903
137904,1498,19.7,95,90,94,137904
138902,-1,19,85,73,90,138902
138903,-1,20.4,76,52,94,138903
138904,.,.,100,85,70,138904
139905,-1,20.6,81,81,97,139905
139908,-1,17.5,73,54,85,139908
139909,1537,21.1,85,67,80,139909
139911,1539,21.8,87,79,78,139911
139912,1425,20.4,89,79,80,139912
140901,-1,21,58,93,-1,140901
140904,1367,19.3,71,59,80,140904
140905,-1,19,80,78,86,140905
140907,.,20.4,84,71,90,140907
140908,-1,21.8,92,79,91,140908
141901,1408,21,85,77,94,141901
141902,1370,20.1,100,78,94,141902
142901,1163,16.3,74,51,80,142901
143901,1434,20.7,94,86,96,143901
143902,-1,21.3,91,88,100,143902
143903,1460,21.4,100,98,98,143903
143904,.,.,-1,.,.,143904
143905,.,.,100,.,.,143905
143906,.,.,.,.,.,143906
144901,1374,18.4,91,83,99,144901
144902,1454,19.6,69,93,96,144902
144903,1417,20,88,53,71,144903
