,gr6_ela_avg,gr7_ela_avg,gr7_writ_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
061911046,88,86,81,98,91,061911046,061911
061912041,84,86,81,95,83,061912041,061912
061914041,71,71,68,91,65,061914041,061914
062903041,66,83,77,87,73,062903041,062903
062904041,89,68,59,79,47,062904041,062904
065901041,68,89,84,90,68,065901041,065901
066902041,70,65,64,74,42,066902041,066902
066903042,67,62,59,86,53,066903042,066903
067902041,95,92,96,94,64,067902041,067902
067903041,82,88,88,92,66,067903041,067903
067904042,80,86,68,82,71,067904042,067904
067907041,60,62,58,80,48,067907041,067907
070801041,77,80,79,81,29,070801041,070801
070908042,89,83,84,97,89,070908042,070908
070908044,95,90,89,97,89,070908044,070908
070912042,78,78,76,88,66,070912042,070912
070912043,86,84,80,93,73,070912043,070912
071901041,66,71,76,90,51,071901041,071901
071901042,55,58,60,82,61,071901042,071901
071902040,.,.,.,.,.,071902040,071902
071902041,55,56,51,67,55,071902041,071902
071902042,73,67,68,86,73,071902042,071902
071902043,63,75,65,81,47,071902043,071902
071902044,36,43,45,70,62,071902044,071902
071902045,86,79,85,93,66,071902045,071902
071902046,63,65,67,82,58,071902046,071902
071902047,65,63,59,77,50,071902047,071902
071902048,66,53,57,82,45,071902048,071902
071902049,66,62,54,75,45,071902049,071902
071902051,74,73,69,88,55,071902051,071902
071902052,86,81,79,85,80,071902052,071902
071902053,91,95,94,96,78,071902053,071902
071902054,67,70,67,86,80,071902054,071902
071902055,83,85,87,96,84,071902055,071902
071902056,84,76,71,92,52,071902056,071902
071902057,.,.,.,.,.,071902057,071902
071903041,58,69,67,81,71,071903041,071903
071905042,68,69,68,87,65,071905042,071905
071905043,.,87,85,95,81,071905043,071905
071905046,65,60,66,75,51,071905046,071905
071905047,83,74,76,88,65,071905047,071905
071905050,77,73,73,89,76,071905050,071905
071905051,69,67,74,85,74,071905051,071905
071905052,75,73,79,85,65,071905052,071905
071906041,69,58,73,92,65,071906041,071906
071907041,73,75,57,90,77,071907041,071907
071907042,65,70,63,92,81,071907042,071907
071909041,65,72,83,85,68,071909041,071909
071909042,79,80,76,85,70,071909042,071909
071909043,75,80,82,92,80,071909043,071909
071909044,82,78,69,93,72,071909044,071909
071909045,80,90,88,92,88,071909045,071909
071909046,78,81,76,90,73,071909046,071909
071909047,82,76,75,91,70,071909047,071909
071909048,84,90,96,96,80,071909048,071909
071909049,82,86,83,94,76,071909049,071909
073903045,41,38,38,55,24,073903045,073903
074907041,78,73,84,88,58,074907041,074907
074909041,76,65,67,94,71,074909041,074909
077902041,70,68,57,79,71,077902041,077902
079907041,90,87,87,93,79,079907041,079907
079907042,62,59,52,80,54,079907042,079907
079907043,85,83,79,92,76,079907043,079907
079907044,89,87,82,95,79,079907044,079907
079907045,94,96,95,98,86,079907045,079907
079907046,57,59,48,74,45,079907046,079907
079907047,76,79,74,88,70,079907047,079907
079907048,69,71,59,86,63,079907048,079907
079907049,90,92,91,95,84,079907049,079907
079907050,94,97,97,98,95,079907050,079907
079907051,98,98,98,99,99,079907051,079907
079907052,86,85,82,93,78,079907052,079907
079907053,79,80,76,91,75,079907053,079907
079907054,92,92,90,98,87,079907054,079907
081902041,78,78,86,95,69,081902041,081902
081904041,83,88,94,97,78,081904041,081904
081905041,76,74,68,83,83,081905041,081905
082902041,50,52,48,85,48,082902041,082902
082903041,50,57,47,59,25,082903041,082903
083903041,79,76,72,94,66,083903041,083903
084903041,89,70,82,89,56,084903041,084903
084909041,70,75,63,89,68,084909041,084909
084910042,88,90,86,98,85,084910042,084910
084910043,89,78,73,92,80,084910043,084910
084910044,86,85,76,92,79,084910044,084910
084910045,96,95,91,98,92,084910045,084910
084910046,83,82,81,93,84,084910046,084910
084910047,84,85,76,96,82,084910047,084910
084910048,87,88,84,95,78,084910048,084910
084910049,92,88,87,92,85,084910049,084910
084910050,87,91,88,94,78,084910050,084910
084910051,81,77,69,87,69,084910051,084910
084911041,95,95,93,98,93,084911041,084911
085902041,62,89,92,81,53,085902041,085902
086901041,73,84,85,87,74,086901041,086901
086902041,89,91,91,93,78,086902041,086902
090904042,70,68,60,86,67,090904042,090904
091901041,80,91,84,93,90,091901041,091901
091909041,84,81,75,93,63,091909041,091909
091910041,91,91,88,98,96,091910041,091910
091913041,85,90,79,97,89,091913041,091913
091914041,85,79,79,91,95,091914041,091914
091918041,90,77,85,91,68,091918041,091918
092901042,65,61,57,89,67,092901042,092901
092902042,76,73,79,88,77,092902042,092902
092903041,67,60,59,81,47,092903041,092903
092903042,87,77,74,85,65,092903042,092903
092903043,77,77,68,83,57,092903043,092903
092906041,80,80,88,97,84,092906041,092906
092907042,91,84,84,95,81,092907042,092907
092908041,81,85,93,97,72,092908041,092908
093904042,55,56,49,75,42,093904042,093904
094904041,95,80,75,94,84,094904041,094904
095901041,63,85,85,96,66,095901041,095901
095905043,70,72,60,86,66,095905043,095905
095905044,75,72,61,90,73,095905044,095905
096904041,82,80,54,80,23,096904041,096904
097902041,81,89,79,96,78,097902041,097902
098904041,79,90,84,98,67,098904041,098904
099903041,82,89,79,100,64,099903041,099903
100904041,84,81,75,88,71,100904041,100904
100905041,92,92,91,92,70,100905041,100905
101802041,70,85,81,88,77,101802041,101802
101805041,55,78,62,71,19,101805041,101805
101806042,74,79,85,77,68,101806042,101806
101809041,91,62,56,92,62,101809041,101809
101813043,63,69,49,91,54,101813043,101813
101813045,68,57,64,86,76,101813045,101813
101813047,74,81,77,95,82,101813047,101813
101837041,80,78,80,91,93,101837041,101837
101838041,52,64,60,73,57,101838041,101838
101846002,88,84,78,97,61,101846002,101846
101853042,69,59,51,81,60,101853042,101853
101864041,65,64,52,97,69,101864041,101864
101902046,83,59,57,73,48,101902046,101902
101903041,70,64,58,79,68,101903041,101903
101905041,63,70,60,88,82,101905041,101905
101905043,71,81,74,89,61,101905043,101905
101907041,88,88,82,96,90,101907041,101907
101907042,70,74,67,92,76,101907042,101907
101907043,83,80,72,93,77,101907043,101907
101907044,75,75,64,91,74,101907044,101907
101907045,74,78,68,92,78,101907045,101907
101907046,80,83,77,92,87,101907046,101907
101907047,87,85,78,94,89,101907047,101907
101907048,78,79,77,89,70,101907048,101907
101907049,92,93,93,97,89,101907049,101907
101907050,77,75,64,93,70,101907050,101907
101907051,90,89,85,96,92,101907051,101907
101907052,89,89,84,96,83,101907052,101907
101907053,78,80,78,93,76,101907053,101907
101907054,93,95,89,97,93,101907054,101907
101907055,77,77,67,90,74,101907055,101907
101907056,97,98,94,99,98,101907056,101907
101907057,94,93,89,98,92,101907057,101907
101907058,87,91,76,92,83,101907058,101907
101908041,75,78,72,89,82,101908041,101908
101908043,82,83,82,96,88,101908043,101908
101908044,82,84,82,97,93,101908044,101908
101910041,72,75,75,86,76,101910041,101910
101910043,78,81,79,95,80,101910043,101910
101910044,.,77,75,90,79,101910044,101910
101911041,60,66,66,86,70,101911041,101911
101911043,75,72,73,89,79,101911043,101911
101911044,75,75,76,88,72,101911044,101911
101911045,71,72,71,81,69,101911045,101911
101911046,79,82,74,96,76,101911046,101911
101912041,45,55,50,61,35,101912041,101912
101912042,69,69,66,81,64,101912042,101912
101912043,72,76,78,87,77,101912043,101912
101912044,45,49,46,70,47,101912044,101912
101912045,44,51,52,67,43,101912045,101912
101912046,49,47,45,75,43,101912046,101912
101912047,49,43,52,69,58,101912047,101912
101912048,68,71,64,83,56,101912048,101912
101912049,79,74,73,88,54,101912049,101912
101912050,60,51,56,84,65,101912050,101912
101912051,68,71,69,81,60,101912051,101912
101912052,44,43,33,69,30,101912052,101912
101912053,64,69,60,85,59,101912053,101912
101912054,46,58,55,72,33,101912054,101912
101912055,84,84,86,96,80,101912055,101912
101912056,62,63,57,76,61,101912056,101912
101912057,98,96,95,98,94,101912057,101912
101912060,74,69,63,83,73,101912060,101912
101912061,54,62,57,78,43,101912061,101912
101912062,48,42,47,68,48,101912062,101912
101912064,78,76,77,88,63,101912064,101912
101912068,89,80,85,94,77,101912068,101912
101912071,96,97,87,100,94,101912071,101912
101912072,55,39,42,61,51,101912072,101912
101912075,42,49,44,70,42,101912075,101912
101912077,38,48,52,80,33,101912077,101912
101912078,56,61,60,77,48,101912078,101912
101912079,35,36,36,66,56,101912079,101912
101912082,39,60,52,75,56,101912082,101912
101912098,72,68,74,84,64,101912098,101912
101912099,88,90,88,94,85,101912099,101912
101912163,40,43,46,65,38,101912163,101912
101912337,92,97,96,96,91,101912337,101912
101912338,63,61,59,78,59,101912338,101912
101912342,69,77,86,91,70,101912342,101912
101912390,64,76,72,90,65,101912390,101912
101912456,39,40,31,38,-1,101912456,101912
101912459,-1,86,57,100,88,101912459,101912
101912476,31,35,38,56,45,101912476,101912
101913041,65,62,52,88,65,101913041,101913
101913042,84,88,84,97,90,101913042,101913
101913043,94,92,90,98,91,101913043,101913
101913044,88,88,84,95,83,101913044,101913
101913045,98,97,93,99,96,101913045,101913
101913046,87,87,82,94,86,101913046,101913
101913047,66,60,65,88,78,101913047,101913
101913048,84,80,78,93,85,101913048,101913
101914041,86,91,90,93,86,101914041,101914
101914042,83,85,80,96,84,101914042,101914
101914043,87,84,77,91,86,101914043,101914
101914044,90,87,84,96,85,101914044,101914
101914045,79,76,73,92,78,101914045,101914
101914046,94,95,96,99,93,101914046,101914
101914047,98,95,95,99,96,101914047,101914
101914048,92,92,91,98,93,101914048,101914
101914049,79,79,68,89,71,101914049,101914
101914050,97,95,92,99,94,101914050,101914
101914051,75,84,78,87,76,101914051,101914
101914052,95,96,95,98,94,101914052,101914
101914053,99,98,97,100,97,101914053,101914
101915041,63,58,47,83,62,101915041,101915
101915042,89,83,81,94,78,101915042,101915
101915043,78,75,73,86,73,101915043,101915
101915044,93,86,80,97,84,101915044,101915
101915045,90,88,90,98,87,101915045,101915
101915046,96,94,93,99,93,101915046,101915
101915047,92,89,84,97,87,101915047,101915
101915048,93,89,85,97,88,101915048,101915
101915049,85,80,72,95,87,101915049,101915
101917043,77,70,67,86,76,101917043,101917
101917044,63,70,67,83,75,101917044,101917
101919043,63,62,56,76,65,101919043,101919
101919044,73,77,69,86,67,101919044,101919
101919045,73,81,80,86,70,101919045,101919
101919046,51,64,53,85,57,101919046,101919
101919047,59,63,54,75,53,101919047,101919
101919048,66,69,56,85,62,101919048,101919
101919050,69,72,59,91,66,101919050,101919
101920042,97,94,94,99,96,101920042,101920
101920043,78,79,79,87,81,101920043,101920
101920044,45,47,48,73,67,101920044,101920
101920045,77,75,70,90,76,101920045,101920
101920046,59,45,34,77,52,101920046,101920
101920047,52,52,42,75,55,101920047,101920
101920048,95,95,96,100,93,101920048,101920
