,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
057905057,100,100,.,100,100,100,.,100,057905057,057905
057905058,68,63,32,72,67,77,78,71,057905058,057905
057905059,53,47,48,50,49,84,79,67,057905059,057905
057905060,58,36,24,40,39,82,73,71,057905060,057905
057905062,51,34,36,45,47,71,67,60,057905062,057905
057905066,100,95,.,100,100,100,100,96,057905066,057905
057905068,63,49,46,55,49,83,77,75,057905068,057905
057905069,62,49,40,54,51,78,77,61,057905069,057905
057905071,100,99,.,99,99,99,100,99,057905071,057905
057905072,47,39,47,41,52,81,76,57,057905072,057905
057905073,100,100,.,99,99,96,100,99,057905073,057905
057905074,60,44,42,44,41,76,61,42,057905074,057905
057905076,55,40,40,46,46,78,67,64,057905076,057905
057905077,60,58,42,58,54,82,87,72,057905077,057905
057905079,68,46,55,55,46,78,68,59,057905079,057905
057905083,56,42,39,48,44,64,66,52,057905083,057905
057905100,75,54,53,62,49,72,79,63,057905100,057905
057905352,67,63,66,65,68,91,83,77,057905352,057905
057905353,74,56,60,68,63,81,73,71,057905353,057905
057905354,44,44,42,54,46,76,74,57,057905354,057905
057905356,100,100,.,100,100,99,100,99,057905356,057905
057905357,99,97,.,97,95,86,99,91,057905357,057905
057905359,90,82,77,78,68,96,98,82,057905359,057905
057906041,44,56,41,64,56,72,84,67,057906041,057906
057906042,60,63,45,69,66,66,82,63,057906042,057906
057906043,57,50,45,65,63,57,83,59,057906043,057906
057909041,74,87,91,89,90,91,95,89,057909041,057909
057909042,63,50,55,61,63,93,79,62,057909042,057909
057909043,66,46,54,51,50,85,76,61,057909043,057909
057909045,86,79,37,81,84,86,92,86,057909045,057909
057909046,67,56,47,68,66,89,82,75,057909046,057909
057909047,86,80,66,88,84,92,95,89,057909047,057909
057909048,65,59,42,64,60,85,79,66,057909048,057909
057909049,75,64,58,72,70,85,88,66,057909049,057909
057909050,74,63,60,74,60,87,88,75,057909050,057909
057909051,59,49,45,61,52,74,85,69,057909051,057909
