,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
019906,108,86,67,66,52,1049,14,1125,87,134,283,13.9,15.5,15.1,34916,13.8,9.3,REDWATER ISD,019906,019,96.7
019907,445,359,299,272,2764,2301,180,5291,361,691,3154,21.4,18.6,22.5,35828,13.9,9.4,TEXARKANA ISD,019907,019,95.9
019908,290,212,151,141,1205,1375,74,2658,136,484,1564,17.5,15.9,18.1,34996,14,9.5,LIBERTY-EYLAU ISD,019908,019,95.9
019909,41,40,43,39,0,554,6,567,49,89,247,14.3,11.7,16.1,36318,15.7,8.8,SIMMS ISD,019909,019,96.7
019910,0,0,0,0,0,114,0,114,8,17,65,.,.,.,32616,9,7,MALTA ISD,019910,019,98.1
019911,0,0,0,0,2,336,7,351,46,27,55,32.3,24.3,25.7,36046,14,7.8,RED LICK ISD,019911,019,97.9
019912,170,151,138,166,115,1750,31,1932,426,176,229,19.5,18.2,20.4,36029,12.8,7.6,PLEASANT GROVE ISD,019912,019,97
019913,0,0,0,0,0,46,6,67,5,11,22,.,2.5,5,34748,12.3,10.3,HUBBARD ISD,019913,019,97.7
019914,0,0,0,0,3,101,1,105,6,18,45,20,20,10,32306,10.1,8.8,LEARY ISD,019914,019,98
020901,1140,763,630,471,348,6676,4055,11324,499,1463,5022,22.7,22.8,23.4,38112,10.2,7,ALVIN ISD,020901,020,95.6
020902,618,484,375,332,981,3430,1871,6344,609,854,2586,20.1,21.9,22.4,38748,12.5,8.8,ANGLETON ISD,020902,020,96.4
020904,59,58,71,58,5,614,117,741,78,71,141,16.7,14,16,37774,13.1,5.5,DANBURY ISD,020904,020,95.9
020905,1144,981,824,795,1252,6989,4707,13161,1235,1873,5420,20.3,21.9,22.9,40657,11.7,9.1,BRAZOSPORT ISD,020905,020,96.1
020906,217,166,160,148,360,1500,297,2165,161,285,654,16.3,16.3,19.4,39550,13.5,8.1,SWEENY ISD,020906,020,96.2
020907,318,218,214,179,519,2112,534,3185,174,357,1060,30.3,30.1,40.2,39148,12.7,8.4,COLUMBIA-BRAZORIA ISD,020907,020,95.2
020908,1013,743,665,608,967,6853,2224,10618,395,1036,1557,23.4,22.6,23.2,37808,11,6.6,PEARLAND ISD,020908,020,96.6
020910,0,0,0,0,0,99,44,143,17,19,71,17,9.5,15.5,34164,7.5,5.7,DAMON ISD,020910,020,96.6
021802,58,36,19,1,57,41,54,152,0,20,3,.,.,.,22500,6.5,0.5,EAGLE PROJECT (BRYAN),021802,021,85.8
021803,6,7,1,2,7,16,63,86,0,8,44,17,16.5,17,24542,6.8,0.3,BRAZOS SCHOOL FOR INQUIRY & CREATI,021803,021,91.7
021901,629,522,514,514,906,5052,737,7317,946,613,1785,21.9,21.4,24.1,38254,12,7.1,COLLEGE STATION ISD,021901,021,96.8
021902,1404,786,758,633,3325,5394,4703,13501,1942,2125,8295,22.9,19.5,21.5,34533,9.8,6.7,BRYAN ISD,021902,021,94.8
022004,18,13,9,22,0,40,153,194,18,16,172,10.4,11.3,10.3,30862,7.8,2.8,TERLINGUA CSD,022004,022,94.9
022901,103,93,79,80,6,482,681,1175,137,101,682,14.2,15.8,15.2,36257,14,10,ALPINE ISD,022901,022,96.3
022902,9,4,11,10,0,14,70,85,5,7,68,9.6,8.6,8.2,33247,10,5.3,MARATHON ISD,022902,022,96.9
022903,0,0,0,0,1,7,9,17,3,5,0,.,.,.,37370,17,7.3,SAN VICENTE ISD,022903,022,96.7
023902,20,14,15,17,13,159,84,256,36,38,135,10.3,9.7,13.3,33539,10.5,8,SILVERTON ISD,023902,023,96.7
024801,0,0,0,0,0,3,66,69,0,2,64,12.5,5,.,30347,0,0,ENCINO SCHOOL,024801,024,97.7
024901,172,135,121,155,1,81,1705,1789,179,235,1301,19.4,18.7,17.1,36203,15.9,11.5,BROOKS COUNTY ISD,024901,024,93.8
025901,98,79,64,61,93,855,152,1107,94,244,493,17.5,16,18.1,36173,13.7,7.7,BANGS ISD,025901,025,96.4
025902,357,287,269,236,278,2472,1254,4015,262,450,2086,17.6,18.8,20.8,35261,13.7,9,BROWNWOOD ISD,025902,025,95.6
025904,15,22,22,15,1,172,64,237,10,42,143,12.1,7.6,10.6,30766,8,4.3,BLANKET ISD,025904,025,97.3
025905,25,26,28,22,4,260,16,287,46,39,144,18.6,15.8,16.3,33808,12.4,5.7,MAY ISD,025905,025,97
025906,13,12,19,9,0,128,16,144,11,24,63,10.2,8.3,11.4,36175,15,11.3,ZEPHYR ISD,025906,025,95.4
025908,15,16,22,20,0,170,17,189,9,30,90,14.2,12.7,17,35169,13.4,8.1,BROOKESMITH ISD,025908,025,97.1
025909,94,95,110,84,7,1070,157,1250,64,180,419,12.9,14.5,16.8,35631,13.5,7.7,EARLY ISD,025909,025,97.3
026901,179,160,129,115,286,1278,361,1931,52,220,802,15.9,16.4,18.4,35311,12.4,8.3,CALDWELL ISD,026901,026,96.1
026902,68,59,67,57,245,405,119,771,37,112,473,11.7,12.5,12.6,35280,10.7,5.2,SOMERVILLE ISD,026902,026,96.3
026903,45,23,35,35,186,219,105,511,29,71,242,14.4,12.3,13.4,35137,11.6,8.8,SNOOK ISD,026903,026,94.2
027903,256,236,187,178,47,2242,515,2820,195,433,1103,19,17.5,20.5,35589,13.6,7.2,BURNET CONS ISD,027903,027,95.4
027904,361,255,242,200,89,2523,946,3597,187,402,1478,21.8,20.8,21.7,35867,13,7,MARBLE FALLS ISD,027904,027,95.5
028902,436,369,245,257,402,1902,2079,4420,259,764,2204,22.6,21.6,22.9,35717,10.6,7.2,LOCKHART ISD,028902,028,95.4
028903,150,127,95,97,146,640,819,1610,126,168,934,17.6,18.3,20,35642,13.3,9.6,LULING ISD,028903,028,95.2
028906,12,17,16,13,23,108,84,215,9,43,149,11.1,9.3,10.7,33520,11.3,8.8,PRAIRIE LEA ISD,028906,028,95.7
029901,380,276,224,211,110,1681,2142,4124,503,481,1993,19.1,17.1,20.9,36903,13.1,9.4,CALHOUN CO ISD,029901,029,96
030901,33,33,39,44,1,403,28,432,32,71,194,15.9,15.1,14.6,34908,13.3,9.4,CROSS PLAINS ISD,030901,030,96.4
030902,151,123,117,99,15,1402,91,1513,128,271,620,16.8,16.2,16.8,34436,11,7.1,CLYDE CONS ISD,030902,030,96.1
030903,40,34,41,31,1,329,56,392,32,66,172,16.1,11.2,12.4,35162,12.6,7.8,BAIRD ISD,030903,030,97.3
030906,50,43,39,52,4,484,61,549,36,97,229,12.4,11.6,14.5,34926,9.7,5.7,EULA ISD,030906,030,96.6
031801,83,42,21,15,4,17,236,257,0,0,239,17.3,13.5,21.6,16197,3.3,0,VALLEY HIGH,031801,031,69.1
031802,45,23,13,8,0,10,104,114,0,6,0,.,.,.,21333,0.7,0.7,EAGLE PROJECT (BROWNSVILLE),031802,031,88
031901,3755,2305,2142,1903,52,904,39830,40898,2370,4487,37566,19.4,20.4,20.3,38036,12.1,10.8,BROWNSVILLE ISD,031901,031,96.6
031903,1473,983,958,828,103,1968,13692,15857,2010,1887,10966,20.9,22.3,20.9,39358,13.3,9.5,HARLINGEN CONS ISD,031903,031,95.8
031905,229,167,169,156,5,305,2460,2772,258,248,2274,14.7,12.8,18.8,40707,12.9,7.4,LA FERIA ISD,031905,031,96.1
031906,617,476,431,345,28,552,6049,6644,520,939,5415,18.9,17.6,19.2,36887,10.1,6,LOS FRESNOS CONS ISD,031906,031,96.6
031909,212,152,151,131,9,374,1973,2363,167,270,1998,18.2,18.3,19.8,39917,12.9,8.2,POINT ISABEL ISD,031909,031,95.6
031911,186,147,108,140,0,101,1907,2008,180,262,1554,15.2,14.6,19.1,37735,12.6,7.9,RIO HONDO ISD,031911,031,96.2
031912,721,551,445,425,9,220,8625,8864,682,1100,7682,17.2,18.6,19.8,37810,12.2,8.1,SAN BENITO CONS ISD,031912,031,95
031913,39,31,24,24,0,0,509,510,30,42,496,13.7,13.9,15.8,34548,11.1,5.5,SANTA MARIA ISD,031913,031,95.5
031914,97,71,68,76,3,22,1126,1151,50,125,1090,13,13.2,13.5,38868,11.5,7.9,SANTA ROSA ISD,031914,031,95.9
031916,595,500,382,378,15,467,1705,2300,761,226,1199,18.4,18,22,41520,14,5.2,SOUTH TEXAS ISD,031916,031,95.4
032902,186,149,120,138,534,1218,481,2236,140,355,1297,15.2,15,16.4,35762,12,8.1,PITTSBURG ISD,032902,032,96
033901,12,19,15,15,0,159,8,169,18,16,59,10.8,11,9.8,35852,13.4,8.7,GROOM ISD,033901,033,97.9
033902,63,45,47,44,2,610,81,696,82,102,158,13.5,12.5,16.2,37093,14.7,8.2,PANHANDLE ISD,033902,033,96.8
033904,28,37,40,32,1,384,27,412,47,77,113,12.5,11.5,11.4,37855,12.5,7,WHITE DEER ISD,033904,033,97
034901,161,168,137,123,664,1146,33,1848,188,369,941,16.8,14.9,18.8,35296,13.6,9.8,ATLANTA ISD,034901,034,96.3
034902,13,18,15,15,52,136,2,196,24,38,127,12.9,13.7,13.2,34707,15.1,8.5,AVINGER ISD,034902,034,95.6
034903,94,91,48,51,164,757,39,962,82,137,477,12.9,12.1,17,37504,14.1,8.7,HUGHES SPRINGS ISD,034903,034,96.3
034905,93,70,74,86,277,714,6,1001,94,180,474,14.1,12.3,15.7,37140,14.7,9.5,LINDEN-KILDARE CONS ISD,034905,034,96.7
034906,58,45,40,35,17,479,7,506,45,90,159,19.3,16.1,16.4,32738,12.1,6.9,MCLEOD ISD,034906,034,96.2
034907,104,105,89,84,253,939,7,1206,63,233,641,20.5,23.8,21.8,32850,10.4,7.1,QUEEN CITY ISD,034907,034,96.7
034908,0,0,0,0,22,29,0,51,5,21,37,.,.,.,27264,4.2,4.2,MARIETTA ISD,034908,034,97.1
034909,16,20,14,12,8,213,10,231,11,57,76,11.4,9.6,11.6,35181,13,8,BLOOMBURG ISD,034909,034,95.4
035901,108,87,85,97,46,322,952,1320,60,137,943,13.7,16,17,36269,14.4,9.7,DIMMITT ISD,035901,035,95.2
035902,34,29,25,36,17,55,303,375,63,38,296,11.8,10.3,12.9,35659,14.8,8.6,HART ISD,035902,035,96.6
035903,14,27,20,20,0,216,15,231,20,16,42,9.6,8.5,11.9,35528,15.1,8.7,NAZARETH ISD,035903,035,98.4
036901,141,97,79,89,307,844,236,1421,63,183,621,17.5,15.1,19.6,34526,11.2,6.6,ANAHUAC ISD,036901,036,96.2
036902,214,210,154,163,86,2302,293,2693,101,278,465,17.7,17.1,19.5,43405,15.7,9,BARBERS HILL ISD,036902,036,96.2
036903,80,75,69,69,157,807,154,1126,105,165,477,16.9,17.1,20.3,34743,11.1,8.2,EAST CHAMBERS ISD,036903,036,96
037901,48,51,48,39,275,294,96,666,46,89,465,12.7,11.1,14,34242,13.5,7.3,ALTO ISD,037901,037,96.7
037904,350,312,295,236,1066,2352,1185,4632,198,640,2718,18.8,18.5,19.5,33701,11,6.3,JACKSONVILLE ISD,037904,037,96.2
037907,162,136,117,110,307,1419,157,1899,110,248,920,17.1,16.8,17.8,33616,12.2,7.2,RUSK ISD,037907,037,95.4
037908,23,24,21,18,31,102,224,358,21,40,292,11.1,10.7,12.8,40094,11.2,4.8,NEW SUMMERFIELD ISD,037908,037,97.9
037909,23,15,18,18,39,264,19,323,31,55,179,22.1,20.8,30.3,32071,9.6,6.4,WELLS ISD,037909,037,96.4
038901,103,91,95,81,106,744,342,1217,88,206,546,14.8,15.7,15.7,35867,13.6,9.3,CHILDRESS ISD,038901,038,96.2
039901,13,7,16,13,0,128,3,131,5,16,58,10.3,8.8,10,35199,14.9,9.8,BYERS ISD,039901,039,95.8
039902,84,78,80,68,6,977,45,1043,90,156,268,15.4,14,15.5,36437,13.5,9.2,HENRIETTA ISD,039902,039,96.6
039903,39,53,38,28,2,451,46,503,24,77,189,12,14.1,15.5,30788,8.2,4.5,PETROLIA ISD,039903,039,95.5
