,SAT_avg,ACT_avg,SAT/ACT_pct
188903,.,18.1,83.3
188904,.,.,.
189901,898,19.1,58.1
189902,.,15.9,43.7
190903,1009,20.5,54.4
191901,1054,22.3,66
192901,968,18.8,58.5
193902,865,20.4,.
194902,.,19,52.6
194903,.,20.1,58.3
194904,988,19.3,62.3
194905,870,18.7,62.5
195901,868,.,54.7
195902,850,.,34.8
196901,.,18.7,100
196902,970,18,97.1
196903,1053,20.7,58.1
197902,.,18.6,100
198901,944,.,85
198902,.,.,9.1
198903,968,20.9,77.6
198905,831,16.3,58.5
198906,.,.,.
199901,1047,21.3,75.5
199902,966,19.9,60.6
200901,1008,21.6,72.7
200902,.,20.3,70
200904,.,20.5,60.4
200906,.,.,.
201902,1093,21,73.5
201903,.,.,0
201904,.,.,50
201907,.,19.2,50
201908,1044,17.4,91.7
201910,1075,18.7,51.3
201913,.,21,60
201914,1011,19.3,42.6
202903,989,.,47.8
202905,960,20.2,58.6
203901,969,19.4,53.3
203902,918,18.6,53.3
204901,891,20.7,89.1
204904,908,19.5,40.8
205901,916,18.5,52.2
205902,1005,20.6,75.4
205903,946,19.9,70.5
205904,896,19,39.8
205905,874,17.7,52.5
205906,900,18.5,57
205907,1014,17.4,47.2
206901,1048,20.2,63.2
206902,.,17.3,60
206903,.,21.6,70
207901,1023,20.3,75
208901,.,.,.
208902,1085,20.9,52.1
208903,.,20.3,.
209901,941,20.3,.
209902,.,.,33.3
210901,1057,19,60.6
210902,.,18.9,50
210903,.,17.7,34.1
210904,.,17.8,55.2
210905,.,18.9,76.5
210906,.,.,.
211901,.,.,.
211902,.,20.4,94.4
212801,.,.,.
212802,.,.,.
212901,1003,21.5,27.7
212902,1009,24.3,44
212903,1041,22,52.6
212904,974,21.3,36.4
212905,1023,20.4,51
212906,981,22.6,49.5
212909,929,20.2,42.4
212910,.,19.5,46.9
213901,953,20.6,50
214901,878,16.5,57.2
214902,.,16.8,82.4
214903,836,16,57.7
215901,1005,22.4,62.4
216901,1045,21.2,78.9
217901,.,18.8,73.1
218901,1077,20.4,74.1
219901,.,20.9,63.6
