,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
101921,1519,23,63.3,95,85,97,101921
101924,1207,17.2,61.4,79,59,87,101924
101925,1435,22.2,60.2,84,74,94,101925
102901,.,15.8,75,78,61,-1,102901
102902,1371,19.7,43.4,70,53,86,102902
102903,1443,19.6,61.9,78,67,98,102903
102904,1406,21.5,56.9,86,76,96,102904
102905,-1,21.3,67.4,95,85,77,102905
102906,-1,19,80.7,88,86,90,102906
103901,.,19.2,31.3,88,70,95,103901
103902,.,23.1,76.9,77,93,100,103902
104901,-1,20.7,62.2,98,88,100,104901
104903,.,-1,33.3,50,60,72,104903
104907,-1,-1,44.4,100,100,100,104907
105801,1490,22,70,82,81,94,105801
105802,.,.,.,.,.,.,105802
105902,1372,18.7,62.5,70,56,90,105902
105904,1668,25.4,84.4,94,91,98,105904
105905,1591,23.4,76.5,94,87,98,105905
105906,1414,20.3,63.6,81,62,92,105906
106901,-1,20.7,72.7,88,67,88,106901
107901,1410,19.8,45.5,65,54,78,107901
107902,1400,21.1,42.9,87,76,96,107902
107904,1604,19,38.8,86,71,68,107904
107905,1389,-1,50.6,86,81,92,107905
107906,1349,21.2,38.1,87,73,87,107906
107907,.,-1,20,78,73,82,107907
107908,.,.,.,-1,.,.,107908
107910,1357,24.1,74.1,88,75,100,107910
108801,.,14.7,23,43,25,47,108801
108802,.,.,.,.,.,.,108802
108804,-1,14.5,5.6,57,32,62,108804
108807,1361,19.6,-2,85,81,98,108807
108808,1350,19.5,-2,100,88,95,108808
108809,.,.,.,.,.,.,108809
108902,1326,16.7,56.3,67,43,87,108902
108903,1203,16.7,64,73,56,88,108903
108904,1365,17.7,74,76,61,87,108904
108905,1196,16.5,74,72,49,90,108905
108906,1428,18.8,70.4,79,67,93,108906
108907,1288,17.5,61.4,67,63,91,108907
108908,1424,18,81.9,69,55,75,108908
108909,1257,17,62.6,65,45,83,108909
108910,1232,16.9,55.3,73,47,82,108910
108911,1400,19.4,77.4,89,73,94,108911
108912,1267,17.4,55.9,68,48,88,108912
108913,1474,17.7,63.4,73,52,83,108913
108914,.,14.9,79.1,85,54,90,108914
108915,1153,.,61.5,66,59,88,108915
108916,1405,17.3,64.2,84,52,87,108916
109901,1360,20.4,69.6,89,86,94,109901
109902,1367,21.9,60,85,78,79,109902
109903,.,19.4,92.3,75,74,87,109903
109904,1401,-1,20.2,81,76,91,109904
109905,1299,18.6,37.1,75,66,95,109905
109907,1405,19.8,68.8,70,76,100,109907
109908,.,.,.,.,.,.,109908
109910,.,-1,12.5,73,64,96,109910
109911,1482,21.8,44.4,77,75,92,109911
109912,1407,-1,42.9,79,81,95,109912
109913,1386,21,38.5,94,60,96,109913
109914,1320,-1,64.3,69,56,79,109914
110901,-1,18.4,58.8,64,70,87,110901
110902,1375,20.6,30.6,72,64,90,110902
110905,1357,22.7,59.3,88,76,87,110905
110906,1373,19.9,80,68,64,94,110906
110907,1486,21.2,75,95,90,100,110907
110908,-1,20.3,71.4,92,92,93,110908
