,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
013905041,632650,72809.0,,50729.0,100920.0,601.0,,,,,,,,,964.0,,,,
013905101,1026886,,3220.0,20691.0,146012.0,10906.0,,,,,,,,,,,,,
013905699,5575,,,,,,,,,,,,,,,,,,
014901001,1111643,121620.0,17377.0,3464.0,126848.0,,,,,,,,,,8478.0,,,,
014901041,919782,26830.0,17208.0,61285.0,196609.0,,,,,,,,,,23019.0,,,,
014901101,972923,,,32909.0,121110.0,,,,,,,,,,17665.0,,,,
014901102,1048140,,16757.0,109496.0,158528.0,,,,,,,,,,33938.0,,,,
014902001,766828,113790.0,10070.0,57610.0,89943.0,44744.0,,,,,,,,,33729.0,,,55183.0,
014902999,45241,,,7217.0,,,43050.0,540.0,,,,,,130000.0,979.0,139740.0,17945.0,29787.0,
014903001,6736159,577898.0,527329.0,190091.0,1609956.0,17609.0,,,,,,,,,51304.0,655192.0,80011.0,22479.0,
014903005,463227,,557741.0,44061.0,133239.0,,,,,,,,,,461.0,35879.0,13625.0,4423.0,
014903043,2379803,169132.0,327772.0,,561180.0,,,,,,,,,,34184.0,171060.0,25869.0,6541.0,20639.0
014903044,2537665,177500.0,163319.0,44226.0,484228.0,19563.0,,,,,,,,,34053.0,197566.0,29823.0,9544.0,
014903045,2716407,165425.0,310676.0,64595.0,636124.0,14003.0,,,,,,,,,17213.0,173915.0,23547.0,9380.0,
014903102,972880,,,,72477.0,,,,,,,,,,3.0,35821.0,9382.0,7648.0,
014903103,1307457,,,,111169.0,,,,,,,,,,16959.0,45068.0,16855.0,5042.0,
014903104,1428602,,,-4057.0,105278.0,62289.0,,,,,,,,,16961.0,65834.0,15884.0,1919.0,9860.0
014903108,2064991,,,-4654.0,323558.0,,,,,,,,,,8.0,90684.0,23949.0,6453.0,
014903109,1936442,,,141062.0,401892.0,35064.0,,,,,,,,,8.0,71618.0,17806.0,1931.0,
014903111,2231705,,,147395.0,337741.0,,,,,,,,,,9.0,101462.0,20963.0,3429.0,
014903116,1763428,,,,357469.0,,,,,,,,,,7.0,125158.0,15926.0,2516.0,
014903117,2089834,,,-3842.0,417436.0,,,,,,,,,,10.0,102536.0,24201.0,3870.0,
014903118,2399683,,,,184751.0,,,,,,,,,,16964.0,103695.0,33958.0,4602.0,
014903119,-34,,,,4500.0,,,,,,,,,,6.0,99110.0,10506.0,2915.0,
014903699,24153,,6250.0,57364.0,10701.0,3300.0,,,,,,,,,,,,38258.0,
